word,tag,frequency,keepornot
game,NN,23332,0
is,VBZ,21373,0
http,NN,11093,0
are,VBP,10911,0
be,VB,8195,0
more,JJR,7632,0
play,VB,7185,0
games,NNS,7175,0
new,JJ,7040,1
free,JJ,6496,1
https,NN,5287,0
friends,NNS,4965,1
other,JJ,4667,0
not,RB,4583,0
world,NN,4569,0
have,VBP,4332,0
real,JJ,4270,0
levels,NNS,4095,1
players,NNS,4090,1
app,NN,3866,0
fun,NN,3735,1
get,VB,3664,0
Play,NNP,3588,0
time,NN,3547,0
Facebook,NNP,3499,1
up,RP,3454,1
different,JJ,3421,1
best,JJS,3313,1
has,VBZ,3176,0
money,NN,3040,1
items,NNS,2847,1
also,RB,2738,0
Game,NNP,2640,1
available,JJ,2601,1
way,NN,2549,1
out,RP,2403,1
now,RB,2295,1
device,NN,2277,1
make,VB,2249,1
unique,JJ,2246,1
use,VB,2230,0
Google,NNP,2227,1
puzzles,NNS,2226,1
play,NN,2222,1
own,JJ,2172,1
help,VB,2152,1
skills,NNS,2139,1
in-app,JJ,2130,0
mode,NN,2127,1
more,RBR,2125,0
's,VBZ,2125,0
graphics,NNS,2120,1
purchases,NNS,2093,1
features,NNS,2089,1
Android,NNP,2075,0
word,NN,2058,1
many,JJ,2044,0
level,NN,2009,1
@,NNP,2001,0
find,VB,1991,1
support,NN,1960,1
characters,NNS,1960,1
even,RB,1914,1
playing,VBG,1912,1
experience,NN,1892,1
special,JJ,1885,1
just,RB,1855,0
battle,NN,1846,1
puzzle,NN,1812,1
n't,RB,1794,0
take,VB,1759,1
social,JJ,1749,1
only,RB,1741,0
have,VB,1728,0
information,NN,1727,1
gameplay,NN,1726,0
please,VB,1719,0
most,RBS,1701,0
player,NN,1630,0
enemies,NNS,1619,1
words,NNS,1597,1
such,JJ,1576,0
win,VB,1549,1
devices,NNS,1542,1
using,VBG,1525,0
Terms,NNS,1520,1
THE,NNP,1480,0
see,VB,1472,1
Policy,NNP,1471,1
music,NN,1461,1
adventure,NN,1457,1
powerful,JJ,1451,1
New,NNP,1440,1
do,VBP,1426,0
easy,JJ,1420,1
application,NN,1417,1
Twitter,NNP,1416,1
including,VBG,1394,1
FREE,NNP,1391,1
weapons,NNS,1390,1
mobile,JJ,1373,1
use,NN,1371,1
kids,NNS,1359,1
action,NN,1357,1
want,VBP,1343,1
as,RB,1341,0
choose,VB,1333,1
so,RB,1331,0
screen,NN,1331,1
Features,NNS,1328,1
unlock,VB,1304,1
*,JJ,1298,0
full,JJ,1291,1
